trial,run_name,run_dir,model_name,seed,lr,weight_decay,dropout,batch_size,image_size,val_accuracy,val_macro_precision,val_macro_recall,val_macro_f1,val_brier,val_ece,best_epoch,session
16,t016_resnet34_lr4.63e-04_wd1.09e-06_do0p03_bs48_img288_s42,/home/tim/repos/ipeo-hurricane-damage-detection/training_runs/hyperparam_data_resampled_resnet34_20251212-041834/t016_resnet34_lr4.63e-04_wd1.09e-06_do0p03_bs48_img288_s42,resnet34,42,0.0004629513987954377,1.08545608990079e-06,0.025754687834956408,48,288,0.9616161616161616,0.8981293503480279,0.9269164982117867,0.9118069035361633,0.03077056846919771,0.011434463539508844,7,hyperparam_data_resampled_resnet34_20251212-041834
19,t019_resnet34_lr2.55e-03_wd1.55e-06_do0p01_bs48_img256_s42,/home/tim/repos/ipeo-hurricane-damage-detection/training_runs/hyperparam_data_resampled_resnet34_20251212-041834/t019_resnet34_lr2.55e-03_wd1.55e-06_do0p01_bs48_img256_s42,resnet34,42,0.0025540006376135157,1.5463178073056265e-06,0.009342801094240988,48,256,0.9616161616161616,0.8981293503480279,0.9269164982117867,0.9118069035361633,0.031495283456082365,0.02931100166205201,19,hyperparam_data_resampled_resnet34_20251212-041834
4,t004_resnet34_lr1.08e-03_wd6.46e-05_do0p07_bs48_img224_s42,/home/tim/repos/ipeo-hurricane-damage-detection/training_runs/hyperparam_data_resampled_resnet34_20251212-041834/t004_resnet34_lr1.08e-03_wd6.46e-05_do0p07_bs48_img224_s42,resnet34,42,0.0010777137782723761,6.457010518456695e-05,0.0736338963758443,48,224,0.9595959595959596,0.8918604651162791,0.9257697092209609,0.9078074945988229,0.029949544558442877,0.02186812788549095,13,hyperparam_data_resampled_resnet34_20251212-041834
22,t022_resnet34_lr1.17e-04_wd5.97e-06_do0p04_bs56_img256_s42,/home/tim/repos/ipeo-hurricane-damage-detection/training_runs/hyperparam_data_resampled_resnet34_20251212-041834/t022_resnet34_lr1.17e-04_wd5.97e-06_do0p04_bs56_img256_s42,resnet34,42,0.00011662677991844778,5.974745918204632e-06,0.04369065758639233,56,256,0.9595959595959596,0.8918604651162791,0.9257697092209609,0.9078074945988229,0.03279971079096037,0.021035542150940518,4,hyperparam_data_resampled_resnet34_20251212-041834
0,t000_resnet34_lr6.26e-04_wd8.52e-05_do0p21_bs56_img224_s42,/home/tim/repos/ipeo-hurricane-damage-detection/training_runs/hyperparam_data_resampled_resnet34_20251212-041834/t000_resnet34_lr6.26e-04_wd8.52e-05_do0p21_bs56_img224_s42,resnet34,42,0.0006260326907499736,8.516764670113521e-05,0.21096718162507536,56,224,0.9616161616161616,0.9415548098434005,0.8682941999689007,0.9004561763740857,0.032913052185888206,0.014094030134605681,1,hyperparam_data_resampled_resnet34_20251212-041834
1,t001_resnet34_lr5.71e-04_wd3.41e-05_do0p32_bs48_img256_s42,/home/tim/repos/ipeo-hurricane-damage-detection/training_runs/hyperparam_data_resampled_resnet34_20251212-041834/t001_resnet34_lr5.71e-04_wd3.41e-05_do0p32_bs48_img256_s42,resnet34,42,0.0005711627077804185,3.412991695226884e-05,0.3239588234024313,48,256,0.9515151515151515,0.8773148148148149,0.899199191416576,0.8878144594696684,0.03811437785021313,0.036552768885487266,1,hyperparam_data_resampled_resnet34_20251212-041834
8,t008_resnet34_lr7.09e-04_wd3.22e-04_do0p11_bs40_img288_s42,/home/tim/repos/ipeo-hurricane-damage-detection/training_runs/hyperparam_data_resampled_resnet34_20251212-041834/t008_resnet34_lr7.09e-04_wd3.22e-04_do0p11_bs40_img288_s42,resnet34,42,0.0007093539565736621,0.0003222126319527257,0.11149913335796327,40,288,0.9555555555555556,0.9535833243794993,0.8282148965946199,0.8776404494382022,0.03719773050849871,0.017825466454631192,6,hyperparam_data_resampled_resnet34_20251212-041834
25,t025_resnet34_lr1.02e-04_wd7.76e-06_do0p01_bs48_img256_s42,/home/tim/repos/ipeo-hurricane-damage-detection/training_runs/hyperparam_data_resampled_resnet34_20251212-041834/t025_resnet34_lr1.02e-04_wd7.76e-06_do0p01_bs48_img256_s42,resnet34,42,0.00010204706495852724,7.759088105351707e-06,0.010532601305022964,48,256,0.9434343434343434,0.8478705446990846,0.9165953972943555,0.8776223776223776,0.042608345976229874,0.021129839829724283,0,hyperparam_data_resampled_resnet34_20251212-041834
11,t011_resnet34_lr1.44e-04_wd3.70e-06_do0p09_bs48_img256_s42,/home/tim/repos/ipeo-hurricane-damage-detection/training_runs/hyperparam_data_resampled_resnet34_20251212-041834/t011_resnet34_lr1.44e-04_wd3.70e-06_do0p09_bs48_img256_s42,resnet34,42,0.00014406754356396438,3.6979494936610504e-06,0.09226018649070697,48,256,0.9414141414141414,0.8415243059917096,0.9227763955838906,0.8756335282651072,0.05059767890398321,0.028225559056407296,0,hyperparam_data_resampled_resnet34_20251212-041834
6,t006_resnet34_lr2.19e-03_wd1.83e-06_do0p29_bs48_img224_s42,/home/tim/repos/ipeo-hurricane-damage-detection/training_runs/hyperparam_data_resampled_resnet34_20251212-041834/t006_resnet34_lr2.19e-03_wd1.83e-06_do0p29_bs48_img224_s42,resnet34,42,0.002192585128042562,1.8284093384584292e-06,0.29328071762458136,48,224,0.9414141414141414,0.844710401891253,0.908120821023169,0.8724328839676883,0.048626675444402793,0.01724087060099896,12,hyperparam_data_resampled_resnet34_20251212-041834
24,t024_resnet34_lr4.75e-03_wd4.43e-04_do0p19_bs24_img288_s42,/home/tim/repos/ipeo-hurricane-damage-detection/training_runs/hyperparam_data_resampled_resnet34_20251212-041834/t024_resnet34_lr4.75e-03_wd4.43e-04_do0p19_bs24_img288_s42,resnet34,42,0.004745128973896395,0.00044257722845787245,0.19033383401260515,24,288,0.9373737373737374,0.8325493451392731,0.9204828176022392,0.868690153259,0.05928945168674015,0.029920984036994742,7,hyperparam_data_resampled_resnet34_20251212-041834
